Id,Label,d0,modularity_class,Weighted Degree
"mace ","mace ",ingredient,4,46
"lotu ","lotu ",ingredient,1,15
"mutton ","mutton ",ingredient,0,7
"honeydew ","honeydew ",ingredient,3,35
"jalapeno ","jalapeno ",ingredient,2,981
"potato sweet ","potato sweet ",ingredient,4,330
"dill ","dill ",ingredient,4,615
"guava ","guava ",ingredient,4,26
tea leaf willow,tea leaf willow,ingredient,0,18
"prawn ","prawn ",ingredient,1,60
"cider vinegar ","cider vinegar ",ingredient,4,632
"canola oil ","canola oil ",ingredient,4,922
"turnip ","turnip ",ingredient,4,135
"crab ","crab ",ingredient,4,189
"apricot ","apricot ",ingredient,4,293
"beef ","beef ",ingredient,2,2147
"peanut oil ","peanut oil ",ingredient,1,387
"bouillon ","bouillon ",ingredient,2,313
"tomato paste ","tomato paste ",ingredient,3,864
"bay leaf ","bay leaf ",ingredient,4,1634
"celery ","celery ",ingredient,4,2023
"cornstarch ","cornstarch ",ingredient,1,956
"rosemary ","rosemary ",ingredient,3,944
"bean green ","bean green ",ingredient,4,294
"worcestershire sauce ","worcestershire sauce ",ingredient,4,839
"lemon juice ","lemon juice ",ingredient,4,2787
"paprika ","paprika ",ingredient,4,1470
"coconut milk ","coconut milk ",ingredient,1,514
"garbanzo ","garbanzo ",ingredient,0,142
"coriander seed ","coriander seed ",ingredient,0,318
"tofu ","tofu ",ingredient,1,192
"self rising flour ","self rising flour ",ingredient,4,108
"vegetable oil ","vegetable oil ",ingredient,2,3944
"flour ","flour ",ingredient,4,6245
"baking powder ","baking powder ",ingredient,4,1606
"lime ","lime ",ingredient,2,2443
"red chile ","red chile ",ingredient,0,392
"bacon ","bacon ",ingredient,4,1081
"liquid smoke ","liquid smoke ",ingredient,4,94
"habanero ","habanero ",ingredient,2,143
"shiitake ","shiitake ",ingredient,1,313
"thyme ","thyme ",ingredient,4,2221
"cassava ","cassava ",ingredient,2,11
"vegetable broth ","vegetable broth ",ingredient,3,249
"green chile ","green chile ",ingredient,2,562
"chayote ","chayote ",ingredient,1,21
"allspice ","allspice ",ingredient,2,595
"leek ","leek ",ingredient,4,404
"half half ","half half ",ingredient,4,428
"turkey ","turkey ",ingredient,4,516
"mackerel ","mackerel ",ingredient,1,15
"harissa ","harissa ",ingredient,0,47
"cilantro ","cilantro ",ingredient,2,2846
goat milk,goat milk,ingredient,2,17
"lentil ","lentil ",ingredient,0,210
"chocolate ","chocolate ",ingredient,4,1341
"gelatin ","gelatin ",ingredient,4,185
"coffee ","coffee ",ingredient,4,321
"brandy ","brandy ",ingredient,4,225
"food coloring ","food coloring ",ingredient,4,176
"vegetable stock ","vegetable stock ",ingredient,1,160
"baking soda ","baking soda ",ingredient,4,976
hot  chocolate,hot  chocolate,ingredient,3,44
"yogurt ","yogurt ",ingredient,0,754
"lamb ","lamb ",ingredient,0,510
"bread white ","bread white ",ingredient,4,294
"wine red ","wine red ",ingredient,3,599
"soup ","soup ",ingredient,1,19
"cod ","cod ",ingredient,4,101
"margarine ","margarine ",ingredient,4,377
sauce  soybean,sauce  soybean,ingredient,4,705
"graham cracker ","graham cracker ",ingredient,4,146
"hazelnut ","hazelnut ",ingredient,4,224
"pecan ","pecan ",ingredient,4,487
"puff pastry ","puff pastry ",ingredient,4,199
"pine ","pine ",ingredient,3,374
"couscou ","couscou ",ingredient,0,202
"pasta ","pasta ",ingredient,3,761
"tahini ","tahini ",ingredient,0,89
"chile powder ","chile powder ",ingredient,0,193
"corn oil ","corn oil ",ingredient,2,141
"shortening ","shortening ",ingredient,4,430
bamboo shoot,bamboo shoot,ingredient,1,67
"macaroni ","macaroni ",ingredient,4,131
"vermicelli ","vermicelli ",ingredient,1,67
"semolina ","semolina ",ingredient,3,137
"squash yellow ","squash yellow ",ingredient,4,140
"tomato puree ","tomato puree ",ingredient,3,191
"broccoli ","broccoli ",ingredient,3,316
"jasmine ","jasmine ",ingredient,1,102
"cooking oil ","cooking oil ",ingredient,0,117
"milk powder ","milk powder ",ingredient,4,41
"catfish ","catfish ",ingredient,4,63
"sardine ","sardine ",ingredient,3,24
"steak ","steak ",ingredient,4,693
"cereal ","cereal ",ingredient,4,59
"rutabaga ","rutabaga ",ingredient,4,45
"sausage ","sausage ",ingredient,3,985
"adobo sauce ","adobo sauce ",ingredient,2,144
"prune ","prune ",ingredient,4,107
"salmon ","salmon ",ingredient,4,411
